AddressLabel,Addr1,Addr2,City,Phone,PostalCode,State
Tijuana Flats - 236 - Millenia Mall,4693 Gardens Park Blvd,Suite 101,Orlando,(407) 965-5090,32839,FL
Tijuana Flats - 237 - St. Cloud,4100 13th Street,,St. Cloud,(407) 979-4748,34769,FL
Tijuana Flats - 238 - Port Orange,1760 Dunlawton Ave,Suite 105,Port Orange,(386) 271-4663,32127,FL
Tijuana Flats - 239 - Riverview,13009 US HWY 301,,Riverview,(813) 257-9250,33579,FL
Tijuana Flats - 241 - Apopka,1099 W Orange Blossom Trail,,Apopka,(321) 248-8698,32712,FL
Tijuana Flats - 242 - Palm Bay Rd,705 Palm Bay Rd NE,Suite #109,West Melbourne,(321) 215-4860,32904,FL
Tijuana Flats - 243 - Brooksville,12320 Cortez Blvd,,Brooksville,(352) 678-3444,34613,FL
Tijuana Flats - 246 - Nocatee,41 Settlement Drive,Suite 501,Ponte Vedra,(904) 373-9230,32081,FL
Tijuana Flats - 247 - Champions Gate,8274 Champions Gate Blvd,,Champions Gate,(863) 588-1740,33896,FL
Tijuana Flats - 249 - Lutz,17475 N Dale Mabry Hwy,,Lutz,(813) 235-4257,33548,FL
Tijuana Flats - 257 - Ocoee,11024 W Colonial Drive,,Ocoee,321-418-8104,34761,FL
Tijuana Flats - 258 - Otown,7750 Palm Parkway,Suite 110,Orlando,TBA,32836,FL
Tijuana Flats - 260 - Winter Garden,14410 Shoreside Way,Suite 100,Winter Garden,407-459-1910,34787,FL
Tijuana Flats - 401 - Avalon,1024 N. Avalon Park Blvd.,#108,Orlando,(407) 373-0372,32828,FL
Tijuana Flats - 402 - Oviedo,3635 Aloma Ave,Suite 1021,Oviedo,(407) 478-3468,32765,FL
Tijuana Flats - 501 - Naples,11164 Tamiami Tr.,,Naples,(239) 514-1342 ,34110,FL
Tijuana Flats - 502 - Port Charlotte,1100 El Jobean Rd., Ste 102,Port Charlotte,(941) 766-8226  ,33948,FL 
Tijuana Flats - 503 - Estero,8350 Hospital Drive,Ste 102,Bonita Springs,(239) 948-8820 ,34135,FL
Tijuana Flats - 5031 - Panama City Beach,226 W. 23rd St,,Panama City Beach,850-867-0587,32405,FL
Tijuana Flats - 5041 - Tallahassee,3111 Mahan Dr.,,Tallahassee,(850) 597-7001,32308,FL
Tijuana Flats - 5053 - Tallahassee,1400 Village Square Blvd,Unit 40,Tallahassee,(850) 391-3125,32312,FL
Tijuana Flats - 5101 - Deland,305-1 International Speedway Blvd,,Deland,386-624-7060,32724,FL
Tijuana Flats - 5102 - Palm Coast,5890 State Rd. 100,,Palm Coast,,32164,FL
Tijuana Flats - 5401 - Mobile,283 McGregor Ave,,Mobile,,36608,AL
Tijuana Flats - 5450 - Pigeon Forge,3060 Teaster Ln,Unit 105,Pigeon Forge,999-999-9999,37863,TN
Tijuana Flats - 5501 - Apollo Beach,US Hwy 41 ,,Apollo Beach,,33572,FL
Tijuana Flats - 5550 - Lexington,2344 Elkhorn Rd. ,Suite 100,Lexington,000-000-0000,40509,KY
Tijuana Flats - 5555 - Louisville ,2105 S. Hurstbourne Pkwy,,Louisville ,,40220,KY
Tijuana Flats - 5601 - Murfreesboro,1306 Westlawn Blvd,,Murfreesboro,999-999-9999,37128,TN
Tijuana Flats - 5701 - Holly Springs,161 Grand Hill Place,,Holly Springs,(919) 629-7558,27540,NC
Tijuana Flats - 5702 - Cary,7165 O'Kelly Chapel Rd,,Cary,(919) 629-3200,27519,NC
Tijuana Flats - Store 172,651 Nautica Dr,,Jacksonville,(904) 738-7642,32218 ,FL
Warehouse - Orlando,4560 36th Street,,Orlando,407.682.1400,32811,FL
Warehouse Pickup - Orlando,4560 36th Street,,Orlando,407.682.1400,32811,FL
